"Link "," outLinkSimilarity "," inLinkSimilarity "," lexicalSimilarity "," numOutLinks "," numInLinks "," length "," CategorySimilarity","Class"
"/wiki/Infectious_disease "," 0.0117647058824 "," 0.0458284371328 "," 0.117575757576 "," 338 "," 2464 "," 30575 "," 0","Ca"
"/wiki/Respiratory_system "," 0.0750853242321 "," 0.0877563329312 "," 0.0913461538462 "," 339 "," 2471 "," 16143 "," 0","El"
"/wiki/Rhinovirus "," 0.267080745342 "," 0.0468253968254 "," 0.152198421646 "," 84 "," 169 "," 6691 "," 1","Ca"
"/wiki/Coronavirus "," 0.240963855422 "," 0.104340567613 "," 0.0984293193717 "," 87 "," 174 "," 7703 "," 0","Ca"
"/wiki/Cough "," 0.110619469027 "," 0.0674373795761 "," 0.119005328597 "," 165 "," 520 "," 12647 "," 0","Ca"
"/wiki/Sore_throat "," 0.015037593985 "," 0.0437246963563 "," 0.0456490727532 "," 11 "," 139 "," 1032 "," 0","Ca"
"/wiki/Rhinorrhea "," 0.155844155844 "," 0.133884297521 "," 0.0655737704918 "," 83 "," 224 "," 3002 "," 0","Ca"
"/wiki/Fever "," 0.0343347639485 "," 0.0529935275081 "," 0.117328519856 "," 130 "," 1505 "," 13576 "," 0","Ca"
"/wiki/Influenza "," 0.160949868074 "," 0.117701575533 "," 0.162292447777 "," 407 "," 2512 "," 49571 "," 0","Ca"
"/wiki/Influenza-like_illness "," 0.146739130435 "," 0.0161630358398 "," 0.117021276596 "," 92 "," 299 "," 5975 "," 0","Ca"
"/wiki/Upper_respiratory_tract_infection "," 0.258503401361 "," 0.1126307321 "," 0.161870503597 "," 67 "," 238 "," 5596 "," 1","Ca"
"/wiki/Pharyngitis "," 0.144385026738 "," 0.123689727463 "," 0.0881642512077 "," 121 "," 462 "," 4467 "," 1","Ca"
"/wiki/Nasopharynx "," 0.108374384236 "," 0.00966850828729 "," 0.0241730279898 "," 104 "," 312 "," 2456 "," 0","Ca"
"/wiki/Cough "," 0.110619469027 "," 0.0674373795761 "," 0.119005328597 "," 165 "," 520 "," 12647 "," 0","Ca"
"/wiki/Sore_throat "," 0.015037593985 "," 0.0437246963563 "," 0.0456490727532 "," 11 "," 139 "," 1032 "," 0","Ca"
"/wiki/Runny_nose "," 0.155844155844 "," 0.00259291270527 "," 0.0655737704918 "," 83 "," 10 "," 3002 "," 0","Ca"
"/wiki/Nasal_congestion "," 0.167785234899 "," 0.0347682119205 "," 0.0900900900901 "," 73 "," 100 "," 3255 "," 0","El"
"/wiki/Conjunctivitis "," 0.0165289256198 "," 0.0214997378081 "," 0.105513307985 "," 132 "," 804 "," 9987 "," 1","Pr"
"/wiki/Myalgia "," 0.087786259542 "," 0.0388888888889 "," 0.0322164948454 "," 176 "," 350 "," 2231 "," 0","Pr"
"/wiki/Fatigue_(medical) "," 0.128491620112 "," 0.0331244404655 "," 0.0933633295838 "," 80 "," 1284 "," 5715 "," 0","Pr"
"/wiki/Headache "," 0.0192837465565 "," 0.044846577498 "," 0.130016051364 "," 364 "," 1528 "," 19480 "," 0","Pr"
"/wiki/Shivering "," 0.00699300699301 "," 0.002457002457 "," 0.0399484536082 "," 21 "," 77 "," 2110 "," 0","Pr"
"/wiki/Anorexia_(symptom) "," 0.141025641026 "," 0.0324137931034 "," 0.0187861271676 "," 58 "," 355 "," 668 "," 0","Pr"
"/wiki/Fever "," 0.0343347639485 "," 0.0529935275081 "," 0.117328519856 "," 130 "," 1505 "," 13576 "," 0","Ca"
"/wiki/Influenza "," 0.160949868074 "," 0.117701575533 "," 0.162292447777 "," 407 "," 2512 "," 49571 "," 0","Ca"
"/wiki/Rigor_(medicine) "," 0.00769230769231 "," 0.00340425531915 "," 0.0232220609579 "," 7 "," 29 "," 574 "," 0","Ca"
"/wiki/Nasal_congestion "," 0.167785234899 "," 0.0347682119205 "," 0.0900900900901 "," 73 "," 100 "," 3255 "," 0","Ca"
"/wiki/Pharyngitis "," 0.144385026738 "," 0.123689727463 "," 0.0881642512077 "," 121 "," 462 "," 4467 "," 1","Ca"
"/wiki/Rhinorrhea "," 0.155844155844 "," 0.133884297521 "," 0.0655737704918 "," 83 "," 224 "," 3002 "," 0","Ca"
"/wiki/Nasal_congestion "," 0.167785234899 "," 0.0347682119205 "," 0.0900900900901 "," 73 "," 100 "," 3255 "," 0","Ca"
"/wiki/Sneeze "," 0.116751269036 "," 0.0325548478415 "," 0.0861423220974 "," 107 "," 310 "," 8820 "," 0","El"
"/wiki/Myalgia "," 0.087786259542 "," 0.0388888888889 "," 0.0322164948454 "," 176 "," 350 "," 2231 "," 0","El"
"/wiki/Fatigue_(medical) "," 0.128491620112 "," 0.0331244404655 "," 0.0933633295838 "," 80 "," 1284 "," 5715 "," 0","Sp"
"/wiki/Malaise "," 0.158273381295 "," 0.0378338278932 "," 0.0316368638239 "," 37 "," 249 "," 1251 "," 0","Pr"
"/wiki/Headache "," 0.0192837465565 "," 0.044846577498 "," 0.130016051364 "," 364 "," 1528 "," 19480 "," 0","Sp"
"/wiki/Muscle_weakness "," 0.120603015075 "," 0.00860719874804 "," 0.0909970958374 "," 108 "," 139 "," 10013 "," 0","Sp"
"/wiki/Anorexia_(symptom) "," 0.141025641026 "," 0.0324137931034 "," 0.0187861271676 "," 58 "," 355 "," 668 "," 0","Pr"
"/wiki/Influenza "," 0.160949868074 "," 0.117701575533 "," 0.162292447777 "," 407 "," 2512 "," 49571 "," 0","Ca"
"/wiki/Urticaria "," 0.00943396226415 "," 0.0139140955838 "," 0.0963203463203 "," 95 "," 561 "," 6546 "," 0","Ca"
"/wiki/Rhinovirus "," 0.267080745342 "," 0.0468253968254 "," 0.152198421646 "," 84 "," 169 "," 6691 "," 1","Ca"
"/wiki/Picornavirus "," 0.0271739130435 "," 0.0166793025019 "," 0.0839779005525 "," 70 "," 209 "," 6378 "," 1","Ca"
"/wiki/Serovar "," 0.0184049079755 "," 0.00592216582064 "," 0.042471042471 "," 42 "," 39 "," 2319 "," 0","Ca"
"/wiki/Coronavirus "," 0.240963855422 "," 0.104340567613 "," 0.0984293193717 "," 87 "," 174 "," 7703 "," 0","Ca"
"/wiki/Influenza "," 0.160949868074 "," 0.117701575533 "," 0.162292447777 "," 407 "," 2512 "," 49571 "," 0","Ca"
"/wiki/Human_parainfluenza_viruses "," 0.264285714286 "," 0.097244732577 "," 0.0497159090909 "," 54 "," 303 "," 1186 "," 1","El"
"/wiki/Human_respiratory_syncytial_virus "," 0.253424657534 "," 0.0984251968504 "," 0.112582781457 "," 61 "," 257 "," 6377 "," 1","El"
"/wiki/Adenoviridae "," 0.191964285714 "," 0.0969875091844 "," 0.118595825427 "," 166 "," 366 "," 10975 "," 1","El"
"/wiki/Enterovirus "," 0.0406976744186 "," 0.0389408099688 "," 0.105499438833 "," 66 "," 190 "," 6854 "," 0","El"
"/wiki/Metapneumovirus "," 0.273381294964 "," 0.0975192472198 "," 0.0655307994758 "," 54 "," 136 "," 2536 "," 0","El"
"/wiki/Aerosol "," 0.0 "," 0.00592885375494 "," 0.0346964064436 "," 33 "," 385 "," 2916 "," 0","Sp"
"/wiki/Nasopharynx "," 0.108374384236 "," 0.00966850828729 "," 0.0241730279898 "," 104 "," 312 "," 2456 "," 0","Pr"
"/wiki/Nasolacrimal_duct "," 0.00609756097561 "," 0.00239616613419 "," 0.020297699594 "," 41 "," 106 "," 1343 "," 0","Pr"
"/wiki/Adenoid "," 0.123655913978 "," 0.00594227504244 "," 0.0496894409938 "," 89 "," 35 "," 3058 "," 0","Pr"
"/wiki/ICAM-1 "," 0.0181818181818 "," 0.00127877237852 "," 0.0825791855204 "," 58 "," 422 "," 6378 "," 0","Pr"
"/wiki/Cell_(biology) "," 0.003663003663 "," 0.00762631077216 "," 0.0716560509554 "," 188 "," 3098 "," 15617 "," 0","Sp"
"/wiki/Epithelium "," 0.00816326530612 "," 0.0104940970704 "," 0.0592964824121 "," 145 "," 1235 "," 8202 "," 0","Epr"
"/wiki/Macrophage "," 0.0147058823529 "," 0.0179640718563 "," 0.0784132841328 "," 87 "," 1128 "," 11367 "," 0","Pr"
"/wiki/Cytokines "," 0.0188679245283 "," 0.00575539568345 "," 0.072708113804 "," 93 "," 248 "," 6769 "," 0","Pr"
"/wiki/Bradykinin "," 0.0 "," 0.0101694915254 "," 0.0482062780269 "," 66 "," 340 "," 4707 "," 0","Pr"
"/wiki/Immune_system "," 0.0254545454545 "," 0.0262445887446 "," 0.114330874605 "," 566 "," 2722 "," 43926 "," 0","Pr"
"/wiki/Humoral "," 0.0182648401826 "," 0.0 "," 0.0767634854772 "," 107 "," 15 "," 7624 "," 0","Pr"
"/wiki/Antibodies "," 0.010101010101 "," 0.0153374233129 "," 0.0931989924433 "," 365 "," 505 "," 32470 "," 0","Pr"
"/wiki/Leukocytes "," 0.0262008733624 "," 0.00395569620253 "," 0.0845070422535 "," 133 "," 119 "," 6453 "," 0","Pr"
