Link outLinkSimilarity inLinkSimilarity lexicalSimilarity numOutLinks numInLinks length CategorySimilarity
/wiki/Gujarati_language 0.0164744645799 0.00797390358826 0.0622009569378 185 1637 16060 1
/wiki/Hindi_language 0.0155642023346 0.00460602072709 0.0373860182371 90 4955 7238 0
/wiki/Wikipedia:IPA_for_Hindi_and_Urdu 0.0021978021978 0.00334001336005 0.00162390386489 4 350 231 0
http://upload.wikimedia.org/wikipedia/commons/3/3e/Hi-Mohandas_Karamchand_Gandhi_pronunciation.ogg 0.0 0.0 0.0 0 0 12633 0
/wiki/British_Raj 0.0220994475138 0.0220084773394 0.132287985866 556 5229 63340 0
/wiki/Indian_independence_movement 0.110079575597 0.0583090379009 0.172224760164 512 2776 57283 1
/wiki/Satyagraha 0.0192307692308 0.0488165680473 0.0920227069017 28 979 12912 0
/wiki/Tyranny 0.00369003690037 0.0 0.0530148558112 103 277 9842 0
/wiki/Civil_disobedience 0.125418060201 0.016973125884 0.0996357960458 229 1014 26454 0
/wiki/Ahimsa 0.0212765957447 0.0181363352095 0.0899204244032 78 478 23635 0
/wiki/Nonviolence 0.0307414104882 0.0204805041355 0.105032822757 140 1494 20581 0
/wiki/Wikipedia:IPA_for_Hindi_and_Urdu 0.0021978021978 0.00334001336005 0.00162390386489 4 350 231 0
/wiki/Sanskrit 0.00613496932515 0.021795091814 0.0837856974274 614 4832 36924 0
/wiki/Mahatma 0.0105708245243 0.00568181818182 0.0358716173694 28 87 4327 0
/wiki/Honorific 0.00594059405941 0.00259571706684 0.0449370880767 64 396 9857 0
/wiki/Rabindranath_Tagore 0.0878962536023 0.0192755068129 0.113900935859 327 1924 36308 2
/wiki/Gujarati_language 0.0164744645799 0.00797390358826 0.0622009569378 185 1637 16060 1
/wiki/Father_of_the_Nation 0.00608519269777 0.00309837335399 0.0199177995574 45 144 2676 0
/wiki/Gandhi_Jayanti 0.00879120879121 0.00321285140562 0.00911458333333 8 97 565 0
/wiki/Holidays_in_India 0.0142857142857 0.00155884645362 0.0409982174688 124 133 9394 0
/wiki/International_Day_of_Non-Violence 0.0130718954248 0.000843170320405 0.0189527786701 13 35 1627 1
/wiki/Nathuram_Godse 0.0126849894292 0.00391849529781 0.0487426265135 34 129 5838 2
/wiki/Civil_disobedience 0.125418060201 0.016973125884 0.0996357960458 229 1014 26454 0
/wiki/Indian_National_Congress 0.0420168067227 0.0338389731622 0.10989010989 196 5341 25922 1
/wiki/Dalit 0.0204778156997 0.0128499311611 0.104516806723 179 1110 25089 0
/wiki/Swaraj 0.112033195021 0.0362718089991 0.0885509838998 87 1105 11409 0
/wiki/Non-cooperation_movement 0.128834355828 0.0449301760777 0.0808666463229 112 604 8715 0
/wiki/Salt_Satyagraha 0.138067061144 0.047006155568 0.138143776824 155 741 28593 0
/wiki/Quit_India_Movement 0.117296222664 0.0486338797814 0.10595065312 119 816 15645 0
/wiki/Civil_disobedience 0.125418060201 0.016973125884 0.0996357960458 229 1014 26454 0
/wiki/Ahimsa 0.0212765957447 0.0181363352095 0.0899204244032 78 478 23635 0
/wiki/Truth 0.0182648401826 0.00312304809494 0.0953271028037 546 2088 45806 0
/wiki/Sabarmati_Ashram 0.0172413793103 0.00402900886382 0.03081232493 24 94 4545 0
/wiki/Dhoti 0.0141129032258 0.00398633257403 0.0414677804296 68 612 8670 0
/wiki/Fruitarian 0.00588235294118 0.0 0.0319214241866 65 11 5698 0
/wiki/Fasting 0.00757575757576 0.00300450676014 0.116447985005 222 856 45485 0
/wiki/Porbandar 0.020202020202 0.00293255131965 0.0360777058279 63 216 5588 0
/wiki/Bombay_Presidency 0.0179640718563 0.00686498855835 0.0692307692308 282 653 19967 0
/wiki/British_Raj 0.0220994475138 0.0220084773394 0.132287985866 556 5229 63340 0
/wiki/Hindu 0.0174029451138 0.0429837765513 0.0492125984252 354 5236 13349 0
/wiki/Modh 0.00494233937397 0.000821018062397 0.023688155922 159 67 6211 0
/wiki/Diwan_(title) 0.00619834710744 0.000793650793651 0.0207481923923 37 109 2583 0
/wiki/Porbandar 0.020202020202 0.00293255131965 0.0360777058279 63 216 5588 0
/wiki/Princely_state 0.0153583617747 0.00663129973475 0.0838638250761 175 1215 21764 0
/wiki/Kathiawar_Agency 0.0127931769723 0.0 0.0156749840051 25 20 1887 0
/wiki/British_Raj 0.0220994475138 0.0220084773394 0.132287985866 556 5229 63340 0
/wiki/Jawaharlal_Nehru 0.0878378378378 0.0648177002181 0.117098445596 395 2444 25613 0
/wiki/Sanskrit 0.00614124872057 0.021795091814 0.0837856974274 614 4832 36924 0
/wiki/Nelson_Mandela 0.0394431554524 0.00703745743473 0.150424675905 535 3292 55911 0
