Link outLinkSimilarity inLinkSimilarity lexicalSimilarity numOutLinks numInLinks length CategorySimilarity
/wiki/Multinational_corporation 0.00761421319797 0.00488245931284 0.0921923246581 67 1092 12942 0
/wiki/Public_company 0.0111111111111 0.0112027701395 0.0617469879518 33 5493 7587 0
/wiki/Internet_search 0.0269607843137 0.00133008202172 0.102107728337 95 31 12047 0
/wiki/Cloud_computing 0.0220264317181 0.00504231946695 0.132877752468 172 1445 29663 0
/wiki/Advertising 0.00881834215168 0.00623546818854 0.142031080593 253 5127 32308 0
/wiki/Internet 0.0231481481481 0.0239287701725 0.16950283617 374 4720 44966 0
/wiki/Advertising 0.00881834215168 0.00623546818854 0.142031080593 253 5127 32308 0
/wiki/AdWords 0.0275482093664 0.0280671911546 0.114683301344 43 359 11137 0
/wiki/Larry_Page 0.0157480314961 0.0360696517413 0.0672268907563 61 526 6195 0
/wiki/Sergey_Brin 0.022869022869 0.0357960457856 0.112916666667 171 493 17546 0
/wiki/Stanford_University 0.011780104712 0.0158878504673 0.124206708976 600 5412 50175 0
/wiki/Privately_held_company 0.00997506234414 0.00277315585136 0.0629575402635 81 4610 8137 0
/wiki/Initial_public_offering 0.00804289544236 0.00958466453674 0.0872230080151 45 1929 11798 0
/wiki/Mission_statement 0.0 0.00202839756592 0.022691292876 7 455 2075 0
/wiki/Paul_Buchheit 0.0116618075802 0.00155520995334 0.0183783783784 14 22 943 0
/wiki/Don't_be_evil 0.0169014084507 0.0241379310345 0.0598417408506 29 267 6182 1
/wiki/Googleplex 0.0168067226891 0.0285893155259 0.0475703324808 31 443 3758 1
/wiki/Mountain_View,_California 0.0175746924429 0.0114922514365 0.0757701915071 287 1347 17132 0
/wiki/California 0.00665926748058 0.00651395071111 0.099326106065 701 4785 53155 0
/wiki/Data_center 0.00975609756098 0.00305064063453 0.0968287526427 84 467 17998 0
/wiki/Petabyte 0.0 0.00171159606333 0.0048886474742 9 197 507 0
/wiki/List_of_Google_acquisitions 0.0117647058824 0.000667111407605 0.0212418300654 11 14 1030 0
/wiki/Google#Acquisitions_and_partnerships 0.994029850746 0.0100312082033 0.738675958188 405 45 43371 14
/wiki/Web_search_engine 0.0269607843137 0.0372748350276 0.102107728337 95 1399 12047 0
/wiki/Productivity 0.0 0.00100401606426 0.102362204724 20 508 26603 0
/wiki/Software 0.0222672064777 0.00945389834279 0.101860053144 213 4590 16368 0
/wiki/Gmail 0.0360824742268 0.025 0.137381567614 78 3649 21032 0
/wiki/Email 0.0181086519115 0.0120368922933 0.128367670365 200 2037 25945 0
/wiki/Social_networking 0.0176600441501 0.00541347769274 0.136192626035 157 900 31595 0
/wiki/Orkut 0.0168269230769 0.0238521168754 0.131087662338 118 665 23466 0
/wiki/Google_Buzz 0.0276243093923 0.0236406619385 0.0878578479763 40 287 7293 0
/wiki/Desktop_environment 0.00726392251816 0.00242865816636 0.0633837152608 119 476 7897 0
/wiki/Google_Chrome 0.0213219616205 0.0250551528522 0.13351822504 176 2029 28242 0
/wiki/Picasa 0.0157894736842 0.0230667422953 0.080387409201 64 929 9698 0
/wiki/Google_Talk 0.0208877284595 0.0253985910271 0.0842615012107 67 1051 10743 0
/wiki/Instant_messaging 0.0287610619469 0.0119568387285 0.131154499151 150 2513 20329 0
/wiki/Android_(operating_system) 0.045652173913 0.031746031746 0.126498553121 168 1861 23608 1
/wiki/Mobile_phone 0.0148423005566 0.010558488469 0.13174782937 240 6737 28612 0
/wiki/Operating_system 0.00616332819723 0.0171491980228 0.137611530542 423 5713 51372 0
/wiki/Nexus_One 0.0118764845606 0.0223345975558 0.10199556541 111 368 17193 1
/wiki/Motorola_Droid 0.0260416666667 0.000852878464819 0.0995831403428 70 208 12464 0
/wiki/Alexa_Internet 0.0112044817927 0.0131079682649 0.0502306509482 29 1419 3853 0
/wiki/YouTube 0.0428265524625 0.0233090945313 0.145249058183 171 5842 22126 1
/wiki/Blogger_(service) 0.00857142857143 0.0247666905958 0.0461699895068 23 1249 3353 0
/wiki/Orkut 0.0168269230769 0.0238521168754 0.131087662338 118 665 23466 0
/wiki/BrandZ 0.00293255131965 0.00022271714922 0.0139410187668 9 5 1075 0
/wiki/Criticism_of_Google 0.0692840646651 0.0250365115794 0.189178818112 145 450 30482 1
/wiki/Censorship_by_Google 0.0692840646651 0.00154389060432 0.189178818112 145 55 30482 1
/wiki/Larry_Page 0.0156657963446 0.0360696517413 0.0742744712248 61 526 6836 0
/wiki/Sergey_Brin 0.025 0.0357960457856 0.11375 171 493 17536 0
/wiki/PhD 0.00461893764434 0.00244940054145 0.0947493091196 125 3290 28916 0
/wiki/Stanford_University 0.011811023622 0.0158878504673 0.126604956703 598 5412 52166 0
/wiki/California 0.00662983425414 0.00651395071111 0.099589923843 704 4785 53331 0
/wiki/Search_engine 0.0269607843137 0.028757460662 0.102107728337 95 1202 12047 0
/wiki/PageRank 0.0148148148148 0.0328546134173 0.115352348993 92 780 24514 1
/wiki/Robin_Li 0.0056338028169 0.00111012433393 0.0451478982875 28 23 3791 0
/wiki/Baidu 0.265984654731 0.0248589931063 0.106863196684 167 420 11172 2
/wiki/Backlink 0.00859598853868 0.00258509263249 0.0507952796306 22 172 4443 1
/wiki/Googol 0.00272479564033 0.00477178423237 0.0184599156118 38 361 1850 0
/wiki/Stanford_University 0.011811023622 0.0158878504673 0.126604956703 598 5412 52166 0
/wiki/Menlo_Park,_California 0.015065913371 0.0077358490566 0.0435597189696 230 864 8664 0
/wiki/California 0.00662983425414 0.00651395071111 0.099589923843 704 4785 53331 0
/wiki/Andy_Bechtolsheim 0.0191256830601 0.00177069499779 0.0643185298622 46 42 4946 0
/wiki/Sun_Microsystems 0.0288288288288 0.0198889916744 0.146233974359 289 2146 27393 1
/wiki/Sergey_Brin 0.025 0.0357960457856 0.11375 171 493 17536 0
/wiki/Larry_Page 0.0156657963446 0.0360696517413 0.0742744712248 61 526 6836 0
/wiki/Excite 0.0282051282051 0.00305410122164 0.104206500956 74 112 10039 0
/wiki/Vinod_Khosla 0.0215053763441 0.002849002849 0.0483706720978 60 90 4639 0
/wiki/Venture_capital 0.0195227765727 0.00835566766514 0.129580657348 171 2020 33443 0
/wiki/Sequoia_Capital 0.0249307479224 0.00516351118761 0.037784679089 38 186 3769 0
/wiki/Initial_public_offering 0.00791556728232 0.00958466453674 0.0907398790135 55 1929 12769 0
/wiki/Morgan_Stanley 0.0021978021978 0.00425531914894 0.104464672735 135 946 16094 0
/wiki/Credit_Suisse 0.00263852242744 0.00235063663075 0.0482412060302 52 635 5803 0
/wiki/Market_capitalization 0.0 0.00329202168861 0.0435227854583 27 719 4208 0
/wiki/Millionaires 0.00533333333333 0.000220799293442 0.0682674199623 50 44 10659 0
/wiki/Initial_public_offering 0.00791556728232 0.00958466453674 0.0907398790135 55 1929 12769 0
/wiki/The_New_York_Times 0.0102739726027 0.0105349289148 0.135617416131 283 5509 33069 0
/wiki/Sexism 0.00881834215168 0.0011780545271 0.0921477231983 364 1496 32425 0
/wiki/Ageism 0.00526315789474 0.000599280862964 0.100111648679 355 529 29057 0
/wiki/Mutual_fund 0.00694444444444 0.00152613506295 0.111384111384 127 796 30180 0
/wiki/NASDAQ 0.0111420612813 0.030888030888 0.04869297796 33 3839 4191 1
/wiki/Ticker_symbol 0.016348773842 0.00232754972493 0.0530796194291 44 253 5223 0
/wiki/Frankfurt_Stock_Exchange 0.00479616306954 0.00220927897168 0.03242147923 89 504 4693 1
/wiki/Palo_Alto,_California 0.0179153094463 0.00887752031297 0.094968107725 347 2297 31416 0
/wiki/Silicon_Valley 0.0256 0.0143448683821 0.0967206309672 335 2375 18535 0
/wiki/Advertising 0.00880281690141 0.00623546818854 0.142031080593 254 5127 32303 0
/wiki/Index_term 0.00287356321839 0.00325732899023 0.021186440678 17 136 1778 0
/wiki/Idealab 0.00579710144928 0.000663716814159 0.0156081808396 14 37 883 0
/wiki/Bill_Gross 0.00847457627119 0.00110766504209 0.03695991671 30 33 2714 0
/wiki/Silicon_Graphics 0.0262626262626 0.00845991155547 0.120675453048 212 765 23819 1
/wiki/Mountain_View,_California 0.0175746924429 0.0114922514365 0.0757701915071 287 1347 17132 0
/wiki/Googleplex 0.0168067226891 0.0285893155259 0.0475703324808 31 443 3758 1
/wiki/Googolplex 0.00259067357513 0.00187734668335 0.0374251497006 72 318 5811 0
/wiki/Google_(verb) 0.0115606936416 0.00173010380623 0.0234541577825 19 147 1729 1
/wiki/Merriam-Webster 0.00552486187845 0.00255603617774 0.0568462679189 33 627 6241 0
/wiki/Oxford_English_Dictionary 0.00228832951945 0.00397260273973 0.125330313326 118 2893 28766 0
/wiki/Venture_capital 0.0195227765727 0.00835566766514 0.129580657348 171 2020 33443 0
/wiki/Keyhole,_Inc 0.00845070422535 0.00111209964413 0.0319539025668 28 17 2211 0
/wiki/3D_computer_graphics 0.0 0.00383990547925 0.0393034825871 108 2339 5388 0
/wiki/Google_Earth 0.0236686390533 0.0186656577122 0.122226400903 213 3596 29613 0
/wiki/YouTube 0.0428265524625 0.0233090945313 0.145249058183 171 5842 22126 1
/wiki/DoubleClick 0.0217983651226 0.0235394821314 0.0757050964869 47 298 6599 1
/wiki/GrandCentral 0.0217391304348 0.000888888888889 0.0914179104478 56 18 13982 0
/wiki/Google_Voice 0.0217391304348 0.0234821239687 0.0914179104478 56 356 13982 0
/wiki/Aardvark_(search_engine) 0.0 0.0237317657305 0.0413223140496 3 218 3867 0
/wiki/NASA 0.0 0.00683614612262 0.121056241427 350 4948 38370 0
/wiki/Ames_Research_Center 0.00714285714286 0.0057677008751 0.0983090837593 105 601 22567 0
/wiki/Nanotechnology 0.0 0.00369112653182 0.100188323917 175 2353 25357 0
/wiki/Distributed_computing 0.00507614213198 0.00346968590212 0.0687732342007 65 1040 14059 0
/wiki/Sun_Microsystems 0.0288288288288 0.0198889916744 0.146233974359 289 2146 27393 1
/wiki/AOL 0.0220264317181 0.0131563065782 0.144682605111 154 4034 21776 1
/wiki/Time_Warner 0.00707547169811 0.00559927360775 0.0850864890136 110 2205 11577 1
/wiki/.mobi 0.024064171123 0.0 0.071083172147 52 0 7637 0
/wiki/Top-level_domain 0.0046403712297 0.00480399692544 0.0650602409639 116 1004 8432 0
/wiki/Microsoft 0.201451905626 0.0483710657096 0.15354174911 351 5063 25390 3
/wiki/Nokia 0.0215053763441 0.0106561120414 0.155493155493 401 2162 41444 1
/wiki/Ericsson 0.0152091254753 0.00430275767651 0.130974783591 232 654 32652 1
/wiki/News_Corporation 0.2 0.017107533065 0.094723183391 276 2618 13213 2
/wiki/MySpace 0.02 0.00961226914354 0.165277777778 146 4862 41119 0
/wiki/YouTube 0.0428265524625 0.0233090945313 0.145249058183 171 5842 22126 1
/wiki/Stock 0.00635593220339 0.00367705835332 0.101197852127 163 1815 22450 0
/wiki/Materiality_(auditing) 0.0 0.000444839857651 0.0520175012154 12 12 7760 0
