Link outLinkSimilarity inLinkSimilarity lexicalSimilarity numOutLinks numInLinks length CategorySimilarity
http://upload.wikimedia.org/wikipedia/commons/6/67/En-us-India.ogg 0.0 0.0 0.0 0 0 0 0
/wiki/File:En-us-India.ogg 0.00131752305665 0.0 0.0 6 0 620 0
/wiki/Wikipedia:IPA_for_English 0.0 0.0370409455466 0.000962463907603 8 4937 2139 0
/wiki/Wikipedia:IPA_for_English#Key 0.0 0.00141930251419 0.000962463907603 8 49 2139 0
/wiki/Wikipedia:IPA_for_English#Key 0.0 0.00141930251419 0.000962463907603 8 49 2139 0
/wiki/Wikipedia:IPA_for_English#Key 0.0 0.00141930251419 0.000962463907603 8 49 2139 0
/wiki/Wikipedia:IPA_for_English#Key 0.0 0.00141930251419 0.000962463907603 8 49 2139 0
/wiki/Wikipedia:IPA_for_English#Key 0.0 0.00141930251419 0.000962463907603 8 49 2139 0
/wiki/Wikipedia:IPA_for_English#Key 0.0 0.00141930251419 0.000962463907603 8 49 2139 0
/wiki/Wikipedia:IPA_for_English 0.0 0.0370409455466 0.000962463907603 8 4937 2139 0
/wiki/Hindi_language 0.012285012285 0.0125475676232 0.00301075268817 90 4955 7238 0
/wiki/Official_names_of_India 0.00262123197903 0.0 0.0 11 12 358 0
/wiki/South_Asia 0.0671217292378 0.0323701933522 0.00827040632866 258 4696 20764 0
/wiki/Asia 0.0747474747475 0.0591863233066 0.00831946755408 428 4899 24697 0
/wiki/List_of_countries_and_outlying_territories_by_total_area 0.00130208333333 0.0277258566978 0.00146198830409 15 1761 1481 0
/wiki/List_of_countries_by_population 0.00130039011704 0.0248066540201 0.0 16 2135 1606 0
/wiki/Demographics_of_India 0.031847133758 0.0123628765454 0.00466893039049 242 935 10103 0
/wiki/Mainland_India 0.00528401585205 0.0 0.000992063492063 7 6 530 0
/wiki/Indian_Ocean 0.04 0.0206342752592 0.00716560509554 183 5161 10771 0
/wiki/Arabian_Sea 0.0230024213075 0.013815585222 0.00133451957295 121 1656 5515 0
/wiki/Bay_of_Bengal 0.0370786516854 0.0111040609137 0.00681302043906 208 1484 13908 0
/wiki/Pakistan 0.141015921152 0.165171439105 0.011788826243 928 4591 52179 8
/wiki/Bhutan 0.0699507389163 0.0341507110066 0.0127478753541 384 4359 36470 2
/wiki/People's_Republic_of_China 0.0743295019157 0.104864181933 0.0110744580584 803 5632 64871 1
/wiki/Nepal 0.0752032520325 0.054189336235 0.0133297062024 352 4801 41683 4
/wiki/Bangladesh 0.180515759312 0.0758862838374 0.011653718091 559 4620 38906 6
/wiki/Burma 0.0684121621622 0.04724685021 0.0128865979381 782 4116 69349 2
/wiki/Lakshadweep 0.0208333333333 0.014858575009 0.00351150994928 206 795 12906 0
/wiki/Sri_Lanka 0.155821917808 0.0862105940382 0.0125628140704 817 5394 54114 5
/wiki/Maldives 0.131305044035 0.0350953678474 0.0102635875904 884 4674 64914 4
/wiki/Andaman_and_Nicobar_Islands 0.0319270239453 0.0151825315592 0.0072298325723 183 1081 13398 0
/wiki/Thailand 0.044502617801 0.0928123600537 0.0135304434979 596 4884 55180 1
/wiki/Indonesia 0.0443548387097 0.102532076757 0.012012012012 343 4831 34311 4
/wiki/Aceh 0.0131578947368 0.00616197183099 0.0105910488555 220 838 22959 0
/wiki/Andaman_Sea 0.012865497076 0.0043265613243 0.00667976424361 122 449 11871 0
/wiki/Indus_Valley_Civilisation 0.0233297985154 0.00101050929669 0.0107592991085 273 63 31318 0
/wiki/Indian_subcontinent 0.0259067357513 0.0261698193714 0.00234411626817 50 2375 3481 0
/wiki/Hinduism_in_India 0.015625 0.0010498687664 0.0027161611589 91 831 3649 0
/wiki/Buddhism_in_India 0.0223367697595 0.00140562248996 0.0114436619718 506 97 32996 0
/wiki/Jainism_in_India 0.0026455026455 0.0 0.00049850448654 5 2 326 0
/wiki/Sikhism_in_India 0.00473933649289 0.00152004560137 0.00208507089241 116 381 8195 0
/wiki/Parsi 0.0234113712375 0.00748396293656 0.01203783319 197 820 39698 0
/wiki/Judaism_in_India 0.0189125295508 0.0 0.00341588385995 117 10 6995 0
/wiki/Christianity_in_India 0.0210614995788 0.00243445692884 0.0144806460596 626 465 44100 0
/wiki/Islam_in_India 0.0347513481126 0.00310848616724 0.015665278604 1217 1598 79058 0
/wiki/Common_Era 0.00225988700565 0.0160621761658 0.00604914933837 142 3154 16750 0
/wiki/Indian_culture 0.0971223021583 0.00260730044124 0.00974601299468 526 109 31635 0
/wiki/Company_rule_in_India 0.0199095022624 0.00640301318267 0.0120598166908 498 455 69546 0
/wiki/East_India_Company 0.0175438596491 0.0297837617299 0.00981354268891 206 2814 27932 0
/wiki/British_Raj 0.0541237113402 0.027096376886 0.0107419435423 556 5229 63340 0
/wiki/Indian_independence_movement 0.0449541284404 0.0157154673284 0.0135101325994 512 2776 57283 0
/wiki/Non-violent_resistance 0.00253807106599 0.00101153145863 0.000477783086479 37 58 1634 0
/wiki/Mahatma_Gandhi 0.0220338983051 0.0117182177408 0.0165866433872 547 2535 73843 0
/wiki/Federalism 0.0227531285552 0.00782013685239 0.0076447033127 158 1298 17761 0
/wiki/Constitutional_republic 0.0101265822785 0.00352570050102 0.00175208059571 48 519 6866 0
/wiki/Parliamentary_system 0.0123609394314 0.0150730816078 0.00330715171558 83 1861 9937 0
/wiki/States_and_territories_of_India 0.0154577883472 0.0152447962474 0.00214224507284 107 5933 6962 0
/wiki/Religious_pluralism 0.0175029171529 0.0047229791099 0.00811907983762 142 645 25152 0
/wiki/Languages_of_India 0.0343680709534 0.0131396957123 0.00673267326733 245 986 13688 0
/wiki/Fauna_of_India 0.0207612456747 0.00409436537337 0.0051890289103 140 264 14595 0
/wiki/Protected_areas_of_India 0.0204342273308 0.00436101630641 0.00269784172662 48 407 4431 0
/wiki/Economy_of_India 0.0455717970765 0.0147871303217 0.00851393188854 551 1357 52896 0
/wiki/List_of_countries_by_GDP_(nominal) 0.00396301188904 0.00749531542786 0.000491642084562 6 1563 747 0
/wiki/Gross_domestic_product 0.0104046242775 0.0318192571564 0.00815418828762 126 4269 20712 0
/wiki/List_of_countries_by_GDP_(PPP) 0.00529100529101 0.0117362146051 0.002405002405 6 542 1314 0
/wiki/Purchasing_power_parity 0.00504413619168 0.0280564529842 0.0040338846309 53 1179 12410 0
/wiki/Economic_liberalisation_in_India 0.018779342723 0.00453470031546 0.00654664484452 129 215 9221 0
/wiki/List_of_countries_by_GDP_(real)_growth_rate 0.0105540897098 0.000607287449393 0.00143334925944 13 53 2110 0
/wiki/Poverty_in_India 0.03663003663 0.00506625097428 0.00653832183073 120 269 20770 0
/wiki/Literacy_in_India 0.0298507462687 0.00921204145419 0.00710984713829 78 1245 20608 0
/wiki/Corruption_in_India 0.0149625935162 0.000201085863664 0.00468806346917 76 84 15372 0
/wiki/Health_in_India 0.0320665083135 0.0 0.00702493853179 121 24 22825 0
/wiki/Newly_industrialised_country 0.0239294710327 0.0 0.00308370044053 72 3 5375 0
