"Link "," outLinkSimilarity "," inLinkSimilarity "," lexicalSimilarity "," numOutLinks "," numInLinks "," length "," CategorySimilarity","Class"
"/wiki/Artificial_intelligence "," 0.0335570469799 "," 0.00305285250906 "," 0.108276291226 "," 449 "," 5349 "," 34402 "," 1","Ca"
"/wiki/Algorithm "," 0.0131004366812 "," 0.00128783000644 "," 0.0981104651163 "," 182 "," 3100 "," 29152 "," 0","Sp"
"/wiki/Computer "," 0.0161812297735 "," 0.000682593856655 "," 0.0838926174497 "," 287 "," 5893 "," 35969 "," 0","Sp"
"/wiki/Data "," 0.0162601626016 "," 0.000711743772242 "," 0.0773899848255 "," 60 "," 1338 "," 6977 "," 0","Sp"
"/wiki/Sensor "," 0.0 "," 0.0 "," 0.0585284280936 "," 27 "," 944 "," 4278 "," 0","Sp"
"/wiki/Database "," 0.00751879699248 "," 0.000890471950134 "," 0.0986639260021 "," 63 "," 3338 "," 14980 "," 0","Sp"
"/wiki/Artificial_intelligence "," 0.0335570469799 "," 0.00305285250906 "," 0.108276291226 "," 449 "," 5349 "," 34402 "," 1","Ca"
"/wiki/Probability_theory "," 0.00584795321637 "," 0.000842459983151 "," 0.0926174496644 "," 110 "," 1129 "," 10974 "," 0","Ca"
"/wiki/Statistics "," 0.0196078431373 "," 0.00100654252642 "," 0.108228980322 "," 149 "," 3988 "," 20526 "," 0","Ca"
"/wiki/Pattern_recognition "," 0.0444444444444 "," 0.00921658986175 "," 0.118528610354 "," 75 "," 375 "," 11013 "," 1","Ca"
"/wiki/Cognitive_science "," 0.016620498615 "," 0.00312012480499 "," 0.104580152672 "," 341 "," 1287 "," 25117 "," 0","Ca"
"/wiki/Data_mining "," 0.0522875816993 "," 0.0131291028446 "," 0.108895705521 "," 97 "," 882 "," 23329 "," 0","Ca"
"/wiki/Adaptive_control "," 0.0 "," 0.00990099009901 "," 0.0584415584416 "," 3 "," 34 "," 1446 "," 0","El"
"/wiki/Computational_neuroscience "," 0.00975609756098 "," 0.00224719101124 "," 0.0878885316184 "," 139 "," 389 "," 12534 "," 1","Ca"
"/wiki/Theoretical_computer_science "," 0.010101010101 "," 0.0021645021645 "," 0.0946196660482 "," 26 "," 395 "," 3231 "," 0","Ca"
"/wiki/Algorithm "," 0.0131004366812 "," 0.00128783000644 "," 0.0981104651163 "," 182 "," 3100 "," 29152 "," 0","Sp"
"/wiki/Taxonomy "," 0.00680272108844 "," 0.0 "," 0.0905923344948 "," 77 "," 2969 "," 10604 "," 0","Pr"
"/wiki/Theoretical_computer_science "," 0.010101010101 "," 0.0021645021645 "," 0.0946196660482 "," 26 "," 395 "," 3231 "," 0","Ca"
"/wiki/Computational_learning_theory "," 0.0361445783133 "," 0.0 "," 0.111607142857 "," 12 "," 47 "," 1943 "," 0","El"
"/wiki/Time_complexity "," 0.00689655172414 "," 0.00172711571675 "," 0.0985576923077 "," 84 "," 618 "," 19045 "," 0","Pr"
"/wiki/Polynomial_time "," 0.00689655172414 "," 0.00350877192982 "," 0.0985576923077 "," 84 "," 218 "," 19045 "," 0","Pr"
"/wiki/Decision_tree "," 0.0106382978723 "," 0.00469483568075 "," 0.0591715976331 "," 26 "," 150 "," 2653 "," 0","Ca"
"/wiki/Predictive_modelling "," 0.010989010989 "," 0.018691588785 "," 0.0770519262982 "," 20 "," 42 "," 4602 "," 0","El"
"/wiki/Mathematical_model "," 0.00757575757576 "," 0.00260416666667 "," 0.120512820513 "," 63 "," 724 "," 11717 "," 0","Sp"
"/wiki/Computational_model "," 0.0117647058824 "," 0.0 "," 0.0319634703196 "," 12 "," 59 "," 831 "," 0","Sp"
"/wiki/Biological_neural_networks "," 0.00473933649289 "," 0.0 "," 0.101083032491 "," 151 "," 11 "," 10211 "," 0","El"
"/wiki/Artificial_neuron "," 0.00884955752212 "," 0.0 "," 0.0929853181077 "," 46 "," 48 "," 6219 "," 0","El"
"/wiki/Connectionism "," 0.0294117647059 "," 0.0 "," 0.0988095238095 "," 69 "," 240 "," 12298 "," 1","Pr"
"/wiki/Computation "," 0.019801980198 "," 0.00262467191601 "," 0.0635593220339 "," 31 "," 314 "," 1894 "," 0","Sp"
"/wiki/Non-linear "," 0.0 "," 0.0 "," 0.0614525139665 "," 96 "," 149 "," 8535 "," 0","Pr"
"/wiki/Statistical "," 0.0196078431373 "," 0.0 "," 0.108228980322 "," 149 "," 186 "," 20526 "," 0","Pr"
"/wiki/Data_modeling "," 0.0454545454545 "," 0.0 "," 0.104285714286 "," 61 "," 266 "," 9742 "," 0","El"
"/wiki/Pattern_recognition "," 0.0444444444444 "," 0.00921658986175 "," 0.118528610354 "," 75 "," 375 "," 11013 "," 1","Ca"
"/wiki/Evolutionary_algorithm "," 0.0350877192982 "," 0.003663003663 "," 0.0787119856887 "," 47 "," 217 "," 3463 "," 2","Pr"
"/wiki/Bio-inspired_computing "," 0.0340909090909 "," 0.010101010101 "," 0.0898203592814 "," 17 "," 36 "," 2426 "," 0","Ca"
"/wiki/Biological_evolution "," 0.00401606425703 "," 0.0 "," 0.0723169046522 "," 535 "," 95 "," 68816 "," 0","Pr"
"/wiki/Computer_program "," 0.0163043478261 "," 0.0 "," 0.0980392156863 "," 150 "," 2077 "," 11492 "," 0","Sp"
"/wiki/Genetic_algorithms "," 0.0354609929078 "," 0.0109289617486 "," 0.11099796334 "," 84 "," 117 "," 17038 "," 1","El"
"/wiki/Fitness_landscape "," 0.010101010101 "," 0.0 "," 0.0780984719864 "," 28 "," 139 "," 5068 "," 0","Sp"
"/wiki/Logic_programming "," 0.0 "," 0.00684931506849 "," 0.0890052356021 "," 89 "," 381 "," 16578 "," 0","Sp"
"/wiki/Supervised_learning "," 0.0291262135922 "," 0.00636942675159 "," 0.107575757576 "," 39 "," 91 "," 9594 "," 0","Ca"
"/wiki/Statistical_classification "," 0.063829787234 "," 0.0135746606335 "," 0.120603015075 "," 27 "," 166 "," 5547 "," 1","Ca"
"/wiki/Regression_analysis "," 0.0128205128205 "," 0.00239520958084 "," 0.104260089686 "," 96 "," 775 "," 17764 "," 0","Ca"
"/wiki/Unsupervised_learning "," 0.0357142857143 "," 0.0 "," 0.0884955752212 "," 13 "," 67 "," 1403 "," 1","Ca"
"/wiki/Statistics "," 0.0196078431373 "," 0.00100654252642 "," 0.108228980322 "," 149 "," 3988 "," 20526 "," 0","Ca"
"/wiki/Data_analysis "," 0.04 "," 0.0026525198939 "," 0.0911680911681 "," 31 "," 313 "," 8323 "," 0","Ca"
"/wiki/Graphical_model "," 0.0652173913043 "," 0.0 "," 0.104821802935 "," 25 "," 88 "," 2498 "," 0","Ca"
"/wiki/Random_variables "," 0.0148148148148 "," 0.0 "," 0.10433604336 "," 75 "," 66 "," 13671 "," 0","Pr"
"/wiki/Conditional_independence "," 0.0112359550562 "," 0.0 "," 0.0478927203065 "," 20 "," 55 "," 4498 "," 0","Pr"
"/wiki/Directed_acyclic_graph "," 0.0149253731343 "," 0.0 "," 0.0834575260805 "," 66 "," 206 "," 9481 "," 0","Pr"
"/wiki/Inference "," 0.00438596491228 "," 0.0 "," 0.0755735492578 "," 162 "," 646 "," 8898 "," 0","Pr"
"/wiki/Supervised_learning "," 0.0291262135922 "," 0.00636942675159 "," 0.107575757576 "," 39 "," 91 "," 9594 "," 0","Ca"
"/wiki/Machine_perception "," 0.0 "," 0.0 "," 0.0306603773585 "," 2 "," 6 "," 520 "," 0","Ca"
"/wiki/Computer_vision "," 0.0366972477064 "," 0.0103857566766 "," 0.123188405797 "," 40 "," 627 "," 13082 "," 0","Ca"
"/wiki/Natural_language_processing "," 0.062015503876 "," 0.00642054574639 "," 0.117227319062 "," 77 "," 577 "," 16916 "," 0","Ca"
"/wiki/Syntactic_pattern_recognition "," 0.0222222222222 "," 0.0 "," 0.0756972111554 "," 19 "," 3 "," 2619 "," 0","Ca"
"/wiki/Search_engines "," 0.0191082802548 "," 0.0 "," 0.0753186558517 "," 95 "," 169 "," 12047 "," 0","El"
"/wiki/Diagnosis_(artificial_intelligence) "," 0.0128205128205 "," 0.0 "," 0.0738636363636 "," 6 "," 6 "," 3966 "," 0","El"
"/wiki/Bioinformatics "," 0.0268817204301 "," 0.00318302387268 "," 0.117531831538 "," 126 "," 1836 "," 17377 "," 0","Ca"
"/wiki/Brain-machine_interfaces "," 0.003663003663 "," 0.0 "," 0.0739608801956 "," 216 "," 0 "," 32782 "," 0","El"
"/wiki/Cheminformatics "," 0.01 "," 0.0 "," 0.0885608856089 "," 30 "," 306 "," 3452 "," 0","El"
"/wiki/Credit_card_fraud "," 0.00826446280992 "," 0.0 "," 0.0610961365678 "," 61 "," 319 "," 19447 "," 0","Sp"
"/wiki/Stock_market "," 0.0 "," 0.0 "," 0.0669957686883 "," 210 "," 1732 "," 28462 "," 0","Sp"
"/wiki/DNA_sequence "," 0.00632911392405 "," 0.00135685210312 "," 0.0765306122449 "," 110 "," 670 "," 10398 "," 0","El"
"/wiki/Speech_recognition "," 0.00769230769231 "," 0.00266666666667 "," 0.0985460420032 "," 60 "," 706 "," 22295 "," 0","Ca"
"/wiki/Handwriting_recognition "," 0.0 "," 0.00540540540541 "," 0.0873205741627 "," 57 "," 119 "," 11339 "," 0","Ca"
"/wiki/Object_recognition "," 0.0126582278481 "," 0.0 "," 0.0435643564356 "," 7 "," 66 "," 1954 "," 0","ca"
"/wiki/Computer_vision "," 0.0366972477064 "," 0.0103857566766 "," 0.123188405797 "," 40 "," 627 "," 13082 "," 0","Ca"
"/wiki/Strategy_game "," 0.0 "," 0.0 "," 0.0511463844797 "," 30 "," 1035 "," 3335 "," 0","Sp"
"/wiki/Software_engineering "," 0.00632911392405 "," 0.00112023898432 "," 0.0750293083236 "," 101 "," 2656 "," 11555 "," 0","Sp"
"/wiki/Adaptive_website "," 0.0357142857143 "," 0.0 "," 0.0651685393258 "," 13 "," 3 "," 1443 "," 0","El"
"/wiki/Robot_locomotion "," 0.0 "," 0.0 "," 0.0383064516129 "," 8 "," 23 "," 1769 "," 0","El"
"/wiki/Structural_health_monitoring "," 0.010101010101 "," 0.0 "," 0.0978384527873 "," 26 "," 23 "," 13355 "," 0","El"
"/wiki/Netflix "," 0.00512820512821 "," 0.0 "," 0.0688456189152 "," 146 "," 842 "," 31556 "," 0","El"
"/wiki/RapidMiner "," 0.0232558139535 "," 0.00961538461538 "," 0.0590339892665 "," 17 "," 37 "," 3491 "," 1","El"
"/wiki/KNIME "," 0.0 "," 0.0125 "," 0.0644007155635 "," 7 "," 13 "," 4373 "," 0","El"
"/wiki/Weka_(machine_learning) "," 0.0549450549451 "," 0.0 "," 0.0649606299213 "," 23 "," 51 "," 2385 "," 1","El"
"/wiki/Oracle_Data_Mining "," 0.0333333333333 "," 0.0 "," 0.0855920114123 "," 71 "," 9 "," 7407 "," 0","El"
"/wiki/Shogun_(toolbox) "," 0.047619047619 "," 0.0 "," 0.0552016985138 "," 14 "," 5 "," 1696 "," 1","El"
"/wiki/Orange_(software) "," 0.0348837209302 "," 0.0 "," 0.0309734513274 "," 16 "," 23 "," 849 "," 0","El"
"/wiki/Software_suite "," 0.012987012987 "," 0.0 "," 0.0237529691211 "," 4 "," 69 "," 403 "," 0","Sp"
