Link , outLinkSimilarity , inLinkSimilarity , lexicalSimilarity , numOutLinks , numInLinks , length , Category-similarity , Class
/wiki/Old_World_monkey , 0.0679611650485 , 0.0618955512573 , 0.0845528455285 , 46 , 721 , 3885 , 0 , Ca
/wiki/New_World_monkey , 0.10101010101 , 0.0717073170732 , 0.0932203389831 , 46 , 519 , 3694 , 0 , Ca
/wiki/Primate , 0.0666666666667 , 0.0563646170442 , 0.10632183908 , 405 , 2433 , 37309 , 0 , Ca
/wiki/Prosimian , 0.0103092783505 , 0.0681063122924 , 0.0437375745527 , 27 , 209 , 1527 , 0 , Ca
/wiki/Ape , 0.0372670807453 , 0.100149476831 , 0.106194690265 , 106 , 1298 , 11130 , 0 , Ca
/wiki/Simian , 0.0666666666667 , 0.0676730869339 , 0.064182194617 , 24 , 339 , 1042 , 0 , Ca
/wiki/Order_(biology)#Hierarchy_of_ranks , 0.0 , 0.0 , 0.0387858347386 , 40 , 49 , 3119 , 0 , El
/wiki/New_World_monkey , 0.10101010101 , 0.0717073170732 , 0.0932203389831 , 46 , 519 , 3694 , 0 , Ca
/wiki/Old_World_monkey , 0.0679611650485 , 0.0618955512573 , 0.0845528455285 , 46 , 721 , 3885 , 0 , Ca
/wiki/Catarrhini , 0.0769230769231 , 0.0599559955996 , 0.0692883895131 , 26 , 205 , 2117 , 0 , El
/wiki/Paraphyly , 0.0105263157895 , 0.00314836678473 , 0.0590339892665 , 27 , 847 , 2724 , 0 , El
/wiki/Oxford_English_Dictionary , 0.00564971751412 , 0.00153475115106 , 0.0585526315789 , 118 , 2893 , 28756 , 0 , Sp
/wiki/German_language , 0.00770712909441 , 0.000693577472604 , 0.0640683395622 , 536 , 5504 , 44319 , 0 , Sp
/wiki/Reynard , 0.00689655172414 , 0.00109950522265 , 0.0547445255474 , 78 , 96 , 7791 , 0 , Sp
/wiki/Italian_language , 0.0141342756184 , 0.000866300895178 , 0.074939564867 , 276 , 5228 , 22037 , 0 , Sp
/wiki/Taxon , 0.0 , 0.00165508109897 , 0.0612244897959 , 25 , 1339 , 3123 , 0 , Sp
/wiki/Paraphyly , 0.0105263157895 , 0.00314836678473 , 0.0590339892665 , 27 , 847 , 2724 , 0 , Ca
/wiki/Fish , 0.00449438202247 , 0.0167046317388 , 0.0700455580866 , 434 , 4976 , 32981 , 0 , Sp
/wiki/New_World_monkey , 0.10101010101 , 0.0717073170732 , 0.0932203389831 , 46 , 519 , 3694 , 0 , Ca
/wiki/Catarrhini , 0.0769230769231 , 0.0599559955996 , 0.0692883895131 , 26 , 205 , 2117 , 0 , Ca
/wiki/Ape , 0.0372670807453 , 0.100149476831 , 0.106194690265 , 106 , 1298 , 11130 , 0 , Ca
/wiki/Mandrill , 0.0204081632653 , 0.0175967823027 , 0.0681114551084 , 28 , 302 , 4323 , 0 , Ca
/wiki/Barbary_Macaque , 0.0588235294118 , 0.0145379023884 , 0.0560131795717 , 38 , 263 , 3142 , 0 , Ca
/wiki/Pygmy_Marmoset , 0.0232558139535 , 0.0139709833423 , 0.0501858736059 , 15 , 171 , 1761 , 0 , Ca
/wiki/Mandrill , 0.0204081632653 , 0.0175967823027 , 0.0681114551084 , 28 , 302 , 4323 , 0 , Ca
/wiki/Arboreal_locomotion , 0.0178571428571 , 0.0192897851819 , 0.0600226500566 , 45 , 611 , 10855 , 0 , El
/wiki/Savanna , 0.0 , 0.00975156721616 , 0.0630816959669 , 62 , 2647 , 12276 , 0 , El
/wiki/Prehensile_tail , 0.0 , 0.0117056856187 , 0.0480769230769 , 19 , 90 , 1925 , 0 , El
/wiki/Trichromacy , 0.037037037037 , 0.00439077936334 , 0.0724637681159 , 77 , 116 , 4439 , 0 , Pr
/wiki/Color_vision , 0.017316017316 , 0.00292825768668 , 0.0718232044199 , 193 , 338 , 25691 , 0 , Pr
/wiki/Dichromacy , 0.0247933884298 , 0.00203045685279 , 0.0437158469945 , 77 , 254 , 2093 , 0 , Pr
/wiki/Monochromacy , 0.0161290322581 , 0.00205023065095 , 0.0559322033898 , 80 , 232 , 3199 , 0 , Pr
/wiki/Simian , 0.0666666666667 , 0.0676730869339 , 0.064182194617 , 24 , 339 , 1042 , 0 , Ca
/wiki/Pet_monkey , 0.132075471698 , 0.00344827586207 , 0.14858096828 , 48 , 25 , 4091 , 0 , El
/wiki/Model_organism , 0.00862068965517 , 0.00325430032543 , 0.0507936507937 , 50 , 440 , 3672 , 0 , Sp
/wiki/Monkey_drive , 0.0 , 0.0 , 0.034693877551 , 13 , 6 , 886 , 1 , Sp
/wiki/Service_animal , 0.0126582278481 , 0.00170842824601 , 0.0909090909091 , 8 , 35 , 1715 , 0 , Pr
/wiki/Pest_(organism) , 0.00847457627119 , 0.0012589173311 , 0.0454545454545 , 50 , 664 , 2302 , 0 , Pr
/wiki/Capuchin_monkey , 0.0413223140496 , 0.0230887634684 , 0.119420989144 , 58 , 299 , 8411 , 0 , Ca
/wiki/Monkey_helper , 0.0126582278481 , 0.00173110213503 , 0.0909090909091 , 8 , 11 , 1715 , 0 , Sp
/wiki/Macaque , 0.0786516853933 , 0.0378273520854 , 0.0560747663551 , 24 , 423 , 1782 , 0 , Ca
/wiki/Rhesus_Macaque , 0.0289855072464 , 0.0271946564885 , 0.0926315789474 , 77 , 436 , 11478 , 0 , Ca
/wiki/Green_Monkey , 0.0112359550562 , 0.0103542234332 , 0.031067961165 , 17 , 130 , 1362 , 0 , Ca
/wiki/Animal_testing_on_non-human_primates , 0.025 , 0.00292540224281 , 0.0756192959583 , 137 , 340 , 29196 , 0 , Pr
/wiki/Animal_testing , 0.0159744408946 , 0.00433302383163 , 0.0721649484536 , 270 , 1552 , 47583 , 0 , Pr
