@relation data

@attribute Link {/wiki/Old_World_monkey,/wiki/New_World_monkey,/wiki/Primate,/wiki/Prosimian,/wiki/Ape,/wiki/Simian,/wiki/Order_(biology)#Hierarchy_of_ranks,/wiki/Catarrhini,/wiki/Paraphyly,/wiki/Oxford_English_Dictionary,/wiki/German_language,/wiki/Reynard,/wiki/Italian_language,/wiki/Taxon,/wiki/Fish,/wiki/Mandrill,/wiki/Barbary_Macaque,/wiki/Pygmy_Marmoset,/wiki/Arboreal_locomotion,/wiki/Savanna,/wiki/Prehensile_tail,/wiki/Trichromacy,/wiki/Color_vision,/wiki/Dichromacy,/wiki/Monochromacy,/wiki/Pet_monkey,/wiki/Model_organism,/wiki/Monkey_drive,/wiki/Service_animal,/wiki/Pest_(organism),/wiki/Capuchin_monkey,/wiki/Monkey_helper,/wiki/Macaque,/wiki/Rhesus_Macaque,/wiki/Green_Monkey,/wiki/Animal_testing_on_non-human_primates,/wiki/Animal_testing,/wiki/Human,/wiki/United_States,/wiki/European_Union,/wiki/Wikipedia:Citation_needed,/wiki/Animal_rights,/wiki/Animal_welfare,/wiki/Monkeys_in_space,/wiki/V-2,/wiki/Monkey_brain_(cuisine),/wiki/Islamic_dietary_laws,/wiki/Haraam,/wiki/Bushmeat,/wiki/Sun_Wukong,/wiki/Chinese_mythology,/wiki/Journey_to_the_West,/wiki/Television_program,/wiki/Monkey_(TV_series),/wiki/Monsieur_Eek,/wiki/Curious_George,/wiki/Terry_Pratchett,/wiki/Discworld,/wiki/Librarian_(Discworld),/wiki/Unseen_University,/wiki/Orangutan,/wiki/Winged_monkeys,/wiki/List_of_Oz_books,/wiki/Hanuman,/wiki/Hinduism,/wiki/Buddhism,/wiki/Buddhism_in_China,/wiki/Mind_monkey,/wiki/Three_wise_monkeys,/wiki/Moche,/wiki/Monkey_(zodiac),/wiki/Chinese_zodiac,/wiki/Chinese_calendar,/wiki/Computing,/wiki/Typewriter#Keyboard_layouts:_.22QWERTY.22_and_others,/wiki/Push-button,/wiki/Punch_card,/wiki/Paper_tape,/wiki/Input_device,/wiki/Mouse_(computing),/wiki/Touchscreen,/wiki/Pen_computing,/wiki/Character_recognition,/wiki/Voice_recognition,/wiki/Engraving,/wiki/Printing,/wiki/Symbol,/wiki/Letter_(alphabet),/wiki/Number,/wiki/Character_(computing),/wiki/Word_processor,/wiki/Text_editor,/wiki/Microsoft_Windows,/wiki/Control-Alt-Delete,/wiki/Command-line_interface,/wiki/Punctuation,/wiki/Function_Keys,/wiki/Enter_key,/wiki/Laptops,/wiki/Notebook_computers,/wiki/Nettop,/wiki/Smartphone,/wiki/Chorded_keyboard,/wiki/Keyer,/wiki/Game_controller,/wiki/AlphaGrip,/wiki/Thumb_Keyboard,/wiki/Personal_digital_assistant,/wiki/Palm_Treo,/wiki/BlackBerry,/wiki/Ultra-Mobile_PC,/wiki/OQO,/wiki/Stenotype,/wiki/Virtual_Keyboard,/wiki/Silicone,http://en.wiktionary.org/wiki/uneven,/wiki/Projection_keyboard,/wiki/PDA,/wiki/Light-emitting_diode,/wiki/Photoelectric_sensor,/wiki/Printed_circuit_board,/wiki/Light,/wiki/Keyboard_layout,/wiki/Computer_programming,/wiki/Keyboard_layout#United_States,/wiki/Mac_OS_X,/wiki/Linux,/wiki/QWERTY,/wiki/Christopher_Sholes,/wiki/Dvorak_Simplified_Keyboard,/wiki/Asia,/wiki/Space_bar,/wiki/Modifier_key,/wiki/Active_window,/wiki/Control_key,/wiki/Shift_key,/wiki/Alt_key,/wiki/AltGr_key,/wiki/Option_key,/wiki/Command_key,/wiki/Meta_key,/wiki/Windows_key,/wiki/Fn_key,/wiki/Dead_key,/wiki/Diacritic,/wiki/Compose_key,/wiki/Arrow_keys,/wiki/Page_Up_and_Page_Down_keys,/wiki/Home_key,/wiki/End_key,/wiki/Tab_key,/wiki/Insert_key,/wiki/Delete_key,/wiki/Backspace,/wiki/Lock_key,/wiki/Scroll_lock,/wiki/Num_lock,/wiki/Caps_lock,/wiki/System_request,/wiki/Print_screen,/wiki/Clipboard,/wiki/Break_key,/wiki/Esc_key,/wiki/Menu_key,/wiki/Numeric_keypad,/wiki/Keyboard_layout#East_Asian_languages,/wiki/Language_input_keys,/wiki/Power_management_keys,/wiki/E-mail,/wiki/Ukelele,/wiki/Avro_Keyboard,/wiki/Keypad,/wiki/US_dollars,/wiki/Computer_terminal,/wiki/Reed_switch,http://www.visualux.com/visualux2/clarependar.htm,/wiki/Post_Falls|_Idaho,/wiki/General_Instrument,http://www.clare.com/,/wiki/Key_Tronic,/wiki/Spokane|_Washington,/wiki/Hall_effect,/wiki/Spyware}
@attribute outLinkSimilarity numeric
@attribute inLinkSimilarity numeric
@attribute lexicalSimilarity numeric
@attribute numOutLinks numeric
@attribute numInLinks numeric
@attribute length numeric
@attribute Class {Ca,El,Sp,Pr}

@data
/wiki/Old_World_monkey,0.067961,0.061896,0.084553,46,721,3885,Ca
/wiki/New_World_monkey,0.10101,0.071707,0.09322,46,519,3694,Ca
/wiki/Primate,0.066667,0.056365,0.106322,405,2433,37309,Ca
/wiki/Prosimian,0.010309,0.068106,0.043738,27,209,1527,Ca
/wiki/Ape,0.037267,0.100149,0.106195,106,1298,11130,Ca
/wiki/Simian,0.066667,0.067673,0.064182,24,339,1042,Ca
/wiki/Order_(biology)#Hierarchy_of_ranks,0,0,0.038786,40,49,3119,El
/wiki/New_World_monkey,0.10101,0.071707,0.09322,46,519,3694,Ca
/wiki/Old_World_monkey,0.067961,0.061896,0.084553,46,721,3885,Ca
/wiki/Catarrhini,0.076923,0.059956,0.069288,26,205,2117,El
/wiki/Paraphyly,0.010526,0.003148,0.059034,27,847,2724,El
/wiki/Oxford_English_Dictionary,0.00565,0.001535,0.058553,118,2893,28756,Sp
/wiki/German_language,0.007707,0.000694,0.064068,536,5504,44319,Sp
/wiki/Reynard,0.006897,0.0011,0.054745,78,96,7791,Sp
/wiki/Italian_language,0.014134,0.000866,0.07494,276,5228,22037,Sp
/wiki/Taxon,0,0.001655,0.061224,25,1339,3123,Sp
/wiki/Paraphyly,0.010526,0.003148,0.059034,27,847,2724,Ca
/wiki/Fish,0.004494,0.016705,0.070046,434,4976,32981,Sp
/wiki/New_World_monkey,0.10101,0.071707,0.09322,46,519,3694,Ca
/wiki/Catarrhini,0.076923,0.059956,0.069288,26,205,2117,Ca
/wiki/Ape,0.037267,0.100149,0.106195,106,1298,11130,Ca
/wiki/Mandrill,0.020408,0.017597,0.068111,28,302,4323,Ca
/wiki/Barbary_Macaque,0.058824,0.014538,0.056013,38,263,3142,Ca
/wiki/Pygmy_Marmoset,0.023256,0.013971,0.050186,15,171,1761,Ca
/wiki/Mandrill,0.020408,0.017597,0.068111,28,302,4323,Ca
/wiki/Arboreal_locomotion,0.017857,0.01929,0.060023,45,611,10855,El
/wiki/Savanna,0,0.009752,0.063082,62,2647,12276,El
/wiki/Prehensile_tail,0,0.011706,0.048077,19,90,1925,El
/wiki/Trichromacy,0.037037,0.004391,0.072464,77,116,4439,Pr
/wiki/Color_vision,0.017316,0.002928,0.071823,193,338,25691,Pr
/wiki/Dichromacy,0.024793,0.00203,0.043716,77,254,2093,Pr
/wiki/Monochromacy,0.016129,0.00205,0.055932,80,232,3199,Pr
/wiki/Simian,0.066667,0.067673,0.064182,24,339,1042,Ca
/wiki/Pet_monkey,0.132075,0.003448,0.148581,48,25,4091,El
/wiki/Model_organism,0.008621,0.003254,0.050794,50,440,3672,Sp
/wiki/Monkey_drive,0,0,0.034694,13,6,886,Sp
/wiki/Service_animal,0.012658,0.001708,0.090909,8,35,1715,Pr
/wiki/Pest_(organism),0.008475,0.001259,0.045455,50,664,2302,Pr
/wiki/Capuchin_monkey,0.041322,0.023089,0.119421,58,299,8411,Ca
/wiki/Monkey_helper,0.012658,0.001731,0.090909,8,11,1715,Sp
/wiki/Macaque,0.078652,0.037827,0.056075,24,423,1782,Ca
/wiki/Rhesus_Macaque,0.028986,0.027195,0.092632,77,436,11478,Ca
/wiki/Green_Monkey,0.011236,0.010354,0.031068,17,130,1362,Ca
/wiki/Animal_testing_on_non-human_primates,0.025,0.002925,0.075619,137,340,29196,Pr
/wiki/Animal_testing,0.015974,0.004333,0.072165,270,1552,47583,Pr
/wiki/Human,0.008651,0.026123,0.070206,579,6445,53848,Ca
/wiki/United_States,0.001098,0.000845,0.048098,913,6763,65685,Sp
/wiki/Primate,0.066667,0.056365,0.106322,405,2433,37309,Ca
/wiki/European_Union,0.004688,0.001471,0.055226,679,5273,57372,Sp
/wiki/Wikipedia:Citation_needed,0,0.001206,0.008565,2,4916,186,Sp
/wiki/Animal_rights,0.004425,0.003748,0.062946,182,2321,54584,Pr
/wiki/Wikipedia:Citation_needed,0,0.001206,0.008565,2,4916,186,Sp
/wiki/Animal_rights,0.004425,0.003748,0.062946,182,2321,54584,Pr
/wiki/Animal_welfare,0.023256,0.005955,0.073124,62,646,14397,Pr
/wiki/Wikipedia:Citation_needed,0,0.001206,0.008565,2,4916,186,Sp
/wiki/Monkeys_in_space,0.024,0.003241,0.056296,61,137,6539,El
/wiki/V-2,0.014151,0.001151,0.054369,178,934,25738,Pr
/wiki/Monkey_brain_(cuisine),0,0.000576,0.052536,17,12,1833,El
/wiki/Islamic_dietary_laws,0.017699,0.001877,0.064232,49,420,7675,Sp
/wiki/Haraam,0,0.00051,0.038596,19,237,2207,Sp
/wiki/Bushmeat,0.033333,0.009514,0.078915,53,187,7638,El
/wiki/Sun_Wukong,0.025806,0.006003,0.069034,104,293,13282,Pr
/wiki/Chinese_mythology,0.007692,0.001726,0.057176,74,599,9341,Pr
/wiki/Journey_to_the_West,0.018519,0.004091,0.074016,118,487,19431,Pr
