Link, outLinkSimilarity, inLinkSimilarity,lexicalSimilarity,numOutLinks,numInLinks,length,CategorySimilarity,Class
/wiki/Nervous_system , 0.087786259542 , 0.0838130001404 , 0.212209302326 , 743 , 3913 , 44647 , 0,Ca
/wiki/Vertebrate , 0.0164473684211 , 0.0188187951237 , 0.0528492647059 , 119 , 4693 , 8000 , 0,El
/wiki/Invertebrate , 0.0126050420168 , 0.00879000137344 , 0.0205233453053 , 39 , 3397 , 1438 , 0,El
/wiki/Cnidarian , 0.0265060240964 , 0.00190023752969 , 0.122312824314 , 371 , 233 , 33131 , 0,El
/wiki/Echinoderm , 0.0138408304498 , 0.00626515763945 , 0.0981861198738 , 93 , 1230 , 18317 , 0,El
/wiki/Sponge , 0.0250626566416 , 0.00970699262988 , 0.124645892351 , 343 , 2000 , 39787 , 0,El
/wiki/Skull , 0.00374531835206 , 0.017987065481 , 0.0651140684411 , 73 , 1092 , 7116 , 0,El
/wiki/Visual_perception , 0.0327868852459 , 0.0237759419706 , 0.099634369287 , 120 , 1104 , 9955 , 0,Pr
/wiki/Hearing_(sense) , 0.00701754385965 , 0.0130733436738 , 0.0352657004831 , 84 , 593 , 3974 , 0,Pr
/wiki/Equilibrioception , 0.0126050420168 , 0.00772387159063 , 0.0381944444444 , 36 , 192 , 3795 , 0,Pr
/wiki/Gustation , 0.0200573065903 , 0.000750938673342 , 0.0943800943801 , 180 , 13 , 14957 , 0,Pr
/wiki/Olfaction , 0.0255681818182 , 0.0209488601356 , 0.127055921053 , 181 , 1004 , 21104 , 0,Pr
/wiki/Cerebral_cortex , 0.048 , 0.063114217078 , 0.124829157175 , 215 , 907 , 13589 , 0,El
/wiki/Human_brain , 0.06463878327 , 0.0651055525989 , 0.168297455969 , 650 , 2021 , 29127 , 2,Ca
/wiki/Neuron , 0.0507246376812 , 0.0775954334641 , 0.163143199043 , 248 , 2180 , 27806 , 0,Ca
/wiki/Synapse , 0.0192307692308 , 0.0257696693273 , 0.0181912681913 , 6 , 514 , 1004 , 0,El
/wiki/Cubic_millimeter , 0.0 , 0.0 , 0.00618875709128 , 16 , 1 , 925 , 0,Sp
/wiki/Axon , 0.0363636363636 , 0.0324457373014 , 0.0755703422053 , 154 , 664 , 7140 , 1,El
/wiki/Action_potential , 0.0539906103286 , 0.0292001692763 , 0.173898189272 , 349 , 913 , 61742 , 0,Pr
/wiki/Organ_systems , 0.00408163265306 , 0.0 , 0.0122386537481 , 41 , 12 , 1333 , 0,Pr
/wiki/Hormone , 0.00578034682081 , 0.0255186341105 , 0.0646211064621 , 168 , 1644 , 8336 , 0,El
/wiki/Neurotransmitters , 0.0418719211823 , 0.00894151764137 , 0.0970116933738 , 235 , 190 , 15169 , 0,El
/wiki/Sponge , 0.0250626566416 , 0.00970699262988 , 0.124645892351 , 343 , 2000 , 39787 , 0,El
/wiki/Central_nervous_system , 0.0672514619883 , 0.0971444970584 , 0.0668912415784 , 256 , 3680 , 6198 , 0,Ca
/wiki/Locomotion , 0.0 , 0.000248323814254 , 0.00262329485834 , 0 , 43 , 172 , 0,El
/wiki/Spinal_cord , 0.048 , 0.0957653457653 , 0.117672790901 , 257 , 1690 , 20707 , 1,Ca
/wiki/EEG , 0.0409207161125 , 0.00964705882353 , 0.138683431953 , 277 , 306 , 29978 , 0,El
/wiki/Neuroimaging , 0.038202247191 , 0.0321091290661 , 0.102892561983 , 286 , 945 , 17849 , 0,El
/wiki/Single_unit_recording , 0.0134529147982 , 0.0 , 0.0381097560976 , 21 , 2 , 2568 , 0,El
/wiki/Evolution_of_the_brain , 1.0 , 0.0 , 0.731540342298 , 221 , 0 , 47340 , 4,El
/wiki/Developmental_neuroscience , 0.0645161290323 , 0.0012528188424 , 0.116408934708 , 175 , 11 , 17054 , 0,El
/wiki/Molecular_neuroscience , 0.00961538461538 , 0.00125093820365 , 0.0135346173868 , 4 , 17 , 852 , 0,El
/wiki/Jellyfish , 0.00604229607251 , 0.00749269005848 , 0.107050572167 , 143 , 1559 , 24247 , 0,Pr
/wiki/Bilateria , 0.015037593985 , 0.00304414003044 , 0.0374753451677 , 74 , 4595 , 3707 , 0,Pr
/wiki/Cambrian , 0.0 , 0.00585429314831 , 0.0603875619648 , 80 , 6137 , 9606 , 0,Pr
/wiki/Ganglion , 0.0135135135135 , 0.016788838969 , 0.035142118863 , 22 , 331 , 1602 , 0,El
/wiki/Arthropod , 0.0224948875256 , 0.00456727954093 , 0.135898340981 , 404 , 4616 , 35550 , 0,Pr
/wiki/Insect , 0.0152284263959 , 0.00752628666298 , 0.141509433962 , 484 , 5168 , 47922 , 0,Pr
/wiki/Crustacean , 0.0118343195266 , 0.00507425742574 , 0.0673806336457 , 197 , 4285 , 11146 , 0,Pr
/wiki/Arachnid , 0.0137931034483 , 0.0028227603625 , 0.10494269341 , 320 , 2820 , 31435 , 0,Pr
/wiki/Cephalopod , 0.0148367952522 , 0.00479208533004 , 0.126933895921 , 164 , 2772 , 32858 , 0,Pr
/wiki/Octopus , 0.0285714285714 , 0.00883269830274 , 0.100354191263 , 161 , 1932 , 19802 , 0,Pr
/wiki/Squid , 0.016501650165 , 0.00527569775357 , 0.0648820326679 , 114 , 2104 , 8849 , 0,Pr
/wiki/Mollusc , 0.0252873563218 , 0.00399330155868 , 0.116798846431 , 371 , 3809 , 32193 , 0,Pr
/wiki/Aplysia , 0.00442477876106 , 0.000248570718369 , 0.0204918032787 , 21 , 39 , 1456 , 0,Pr
/wiki/Eric_Kandel , 0.00773195876289 , 0.00924731182796 , 0.0721510451787 , 607 , 736 , 27779 , 0,Pr
/wiki/Learning , 0.0216718266254 , 0.0273291925466 , 0.0793248945148 , 131 , 989 , 13889 , 0,Pr
/wiki/Experiments , 0.00604229607251 , 0.00123031496063 , 0.117714723926 , 146 , 84 , 28473 , 0,Sp
/wiki/Caenorhabditis_elegans , 0.0169491525424 , 0.00504124656279 , 0.0903854674346 , 105 , 403 , 12184 , 0,El
/wiki/Sydney_Brenner , 0.00675675675676 , 0.000707547169811 , 0.0499770747364 , 95 , 258 , 7500 , 0,El
/wiki/Scientific_modelling , 0.0 , 0.0020098258151 , 0.0387096774194 , 24 , 512 , 3634 , 0,Sp
/wiki/Hermaphrodite , 0.003861003861 , 0.00517515923567 , 0.0464895635674 , 58 , 1096 , 5644 , 0,Pr
/wiki/Jell-O , 0.0 , 0.000219731927049 , 0.0492629945694 , 252 , 568 , 15174 , 0,Sp
/wiki/Connective_tissue , 0.0 , 0.0129032258065 , 0.0108695652174 , 72 , 883 , 1100 , 0,Pr
/wiki/Biological_membrane , 0.00377358490566 , 0.0048871305562 , 0.029484029484 , 62 , 339 , 3273 , 0,Pr
/wiki/Meninges , 0.0211267605634 , 0.0284208113683 , 0.036 , 115 , 510 , 3629 , 1,El
/wiki/Dura_mater , 0.020979020979 , 0.0142789148025 , 0.036855036855 , 88 , 281 , 4026 , 1,El
/wiki/Arachnoid_mater , 0.0224719101124 , 0.00617588932806 , 0.0182648401826 , 69 , 93 , 1939 , 1,El
/wiki/Pia_mater , 0.0280373831776 , 0.00910657149889 , 0.0244648318043 , 15 , 115 , 1830 , 0,El
/wiki/Cerebrospinal_fluid , 0.0233463035019 , 0.0512359550562 , 0.0581560283688 , 65 , 699 , 6085 , 1,El
/wiki/Ventricular_system , 0.06 , 0.0228127939793 , 0.0655737704918 , 316 , 365 , 7950 , 2,Pr
/wiki/Blood_vessel , 0.0054347826087 , 0.029728651237 , 0.0391061452514 , 336 , 1199 , 6981 , 0,Pr
/wiki/Blood-brain_barrier , 0.0311418685121 , 0.021358782095 , 0.0970464135021 , 98 , 520 , 15095 , 0,El
/wiki/Toxin , 0.00353356890459 , 0.00906046878078 , 0.0416864045476 , 93 , 1157 , 5306 , 0,Pr
/wiki/Vertebrate , 0.0164473684211 , 0.0188187951237 , 0.0528492647059 , 119 , 4693 , 8000 , 0,Ca
/wiki/Mya_(unit) , 0.0 , 0.00230801510701 , 0.0497578159401 , 169 , 792 , 13883 , 0,Sp
/wiki/Hagfish , 0.0107913669065 , 0.00586992251702 , 0.0718132854578 , 83 , 338 , 8824 , 0,Pr
/wiki/Evolution , 0.0128205128205 , 0.0142212972598 , 0.150631389056 , 535 , 4856 , 68816 , 0,Pr
/wiki/Lampreys , 0.00974025974026 , 0.0 , 0.0794759825328 , 107 , 28 , 9971 , 0,Pr
/wiki/Embryo , 0.0168918918919 , 0.0190028222013 , 0.0676442762535 , 105 , 1451 , 6663 , 0,Pr
/wiki/Forebrain , 0.0313479623824 , 0.0186847852463 , 0.0247225025227 , 175 , 213 , 2190 , 0,Ca
/wiki/Midbrain , 0.0413793103448 , 0.032311712996 , 0.0486111111111 , 154 , 413 , 4494 , 1,Ca
/wiki/Hindbrain , 0.0271084337349 , 0.00250501002004 , 0.0199104031857 , 315 , 17 , 3183 , 2,Ca
/wiki/Brain_size , 0.0281124497992 , 0.00124875124875 , 0.0954198473282 , 55 , 24 , 8673 , 0,Pr
/wiki/Power_law , 0.00763358778626 , 0.000474270808632 , 0.073463935886 , 65 , 242 , 13861 , 0,Pr
/wiki/Exponent , 0.00259067357513 , 0.000975134080936 , 0.0987352101183 , 217 , 121 , 35466 , 0,Sp
/wiki/Cerebrum , 0.0537897310513 , 0.0472581364244 , 0.0983302411874 , 593 , 751 , 12414 , 2,Ca
/wiki/Diencephalon , 0.0285714285714 , 0.0172959805116 , 0.0162436548223 , 171 , 191 , 1922 , 0,Ca
/wiki/Mesencephalon , 0.0413793103448 , 0.00893300248139 , 0.0486111111111 , 154 , 81 , 4494 , 1,Ca
/wiki/Cerebellum , 0.0682414698163 , 0.0502458841137 , 0.193781634129 , 307 , 1017 , 45311 , 3,Ca
/wiki/Pons , 0.026936026936 , 0.0293234818749 , 0.0404139970429 , 149 , 473 , 3875 , 0,Ca
/wiki/Medulla_oblongata , 0.0169491525424 , 0.0281851512374 , 0.0373134328358 , 147 , 502 , 4135 , 1,Ca
/wiki/Teleost , 0.0 , 0.002435460302 , 0.0144553433144 , 24 , 131 , 1137 , 0,Pr
/wiki/Neocortex , 0.0443548387097 , 0.0196173407605 , 0.0676616915423 , 64 , 233 , 4979 , 1,Ca
/wiki/Cerebrum , 0.0537897310513 , 0.0472581364244 , 0.0983302411874 , 593 , 751 , 12414 , 2,Ca
